file_name,transcription
test\040221_114\040221_114.wav,boy
test\040221_115\040221_115.wav,pie
test\040221_116\040221_116.wav,yeah because us has pie
test\040221_117\040221_117.wav,two boxes of pie at home
test\040221_118\040221_118.wav,i dont know
test\040221_119\040221_119.wav,mom what kind of pie us has
test\040221_12\040221_12.wav,a doctor
test\040221_120\040221_120.wav,apple
test\040221_121\040221_121.wav,today
test\040221_122\040221_122.wav,us can eat
test\040221_123\040221_123.wav,okay but us can can eat one today too
test\040221_124\040221_124.wav,apple pie
test\040221_125\040221_125.wav,apple pie
test\040221_126\040221_126.wav,apple pie
test\040221_127\040221_127.wav,apple pie
test\040221_128\040221_128.wav,pumpkin pie
test\040221_129\040221_129.wav,well i dont know if i like a apple
test\040221_13\040221_13.wav,i want a doctor
test\040221_130\040221_130.wav,because because us yyy yyy a apple pie yet
test\040221_131\040221_131.wav,pumpkin cookies
test\040221_132\040221_132.wav,chocolate chips
test\040221_133\040221_133.wav,bought
test\040221_134\040221_134.wav,i bought it
test\040221_135\040221_135.wav,bought cookie jar
test\040221_136\040221_136.wav,me all done
test\040221_137\040221_137.wav,lets say pot
test\040221_138\040221_138.wav,actually i want this
test\040221_139\040221_139.wav,i want this
test\040221_14\040221_14.wav,i need a airplane
test\040221_140\040221_140.wav,a bowl
test\040221_141\040221_141.wav,a bowl and a spoon
test\040221_142\040221_142.wav,a spoon
test\040221_143\040221_143.wav,i see a cup
test\040221_144\040221_144.wav,pow ow
test\040221_145\040221_145.wav,tara i can copy
test\040221_146\040221_146.wav,i can copy this
test\040221_147\040221_147.wav,i forget
test\040221_148\040221_148.wav,yeah it with daddy
test\040221_149\040221_149.wav,wake up computer
test\040221_15\040221_15.wav,theres a match
test\040221_150\040221_150.wav,wake up
test\040221_151\040221_151.wav,sticky
test\040221_152\040221_152.wav,go out
test\040221_153\040221_153.wav,a penguin
test\040221_154\040221_154.wav,jumping
test\040221_155\040221_155.wav,bed
test\040221_156\040221_156.wav,a trampoline
test\040221_157\040221_157.wav,a one with water
test\040221_158\040221_158.wav,when he go bike
test\040221_159\040221_159.wav,come back
test\040221_16\040221_16.wav,a hose
test\040221_160\040221_160.wav,it is a story about a penguin
test\040221_161\040221_161.wav,a penguin
test\040221_162\040221_162.wav,a daddy and a mommy and a baby and a baby yyy
test\040221_163\040221_163.wav,a daddy a mommy
test\040221_164\040221_164.wav,yyy somebody else
test\040221_165\040221_165.wav,yyy another yyy
test\040221_166\040221_166.wav,and the yyy is jumping on his bed
test\040221_167\040221_167.wav,yyy
test\040221_168\040221_168.wav,and and this is a funny part
test\040221_169\040221_169.wav,a mom yyy hohoho yyy yyy
test\040221_17\040221_17.wav,i want a hose
test\040221_170\040221_170.wav,yeah like that
test\040221_171\040221_171.wav,a mommy come
test\040221_172\040221_172.wav,yyy need to sit on the couch
test\040221_173\040221_173.wav,glasses falling and falling
test\040221_174\040221_174.wav,the glasses falling
test\040221_175\040221_175.wav,no the plates
test\040221_176\040221_176.wav,no the plates
test\040221_177\040221_177.wav,yyy plates
test\040221_178\040221_178.wav,a plate
test\040221_179\040221_179.wav,a plate
test\040221_18\040221_18.wav,theres lots matches
test\040221_180\040221_180.wav,when us eat
test\040221_181\040221_181.wav,plate
test\040221_182\040221_182.wav,plate
test\040221_183\040221_183.wav,plate
test\040221_184\040221_184.wav,plate
test\040221_185\040221_185.wav,and the plates was falling
test\040221_186\040221_186.wav,yyy yyy yyy yyy yyy
test\040221_187\040221_187.wav,yyy then a mommy saw it
test\040221_188\040221_188.wav,and the brother needed to sit on the couch
test\040221_189\040221_189.wav,because was jumping on his bed
test\040221_19\040221_19.wav,i want a airplane
test\040221_190\040221_190.wav,yyy just jump on a pillow yyy
test\040221_191\040221_191.wav,yyy and jump on a sisters toy
test\040221_192\040221_192.wav,the baby was crying because because because because because
test\040221_193\040221_193.wav,the baby was crying because because because because because
test\040221_194\040221_194.wav,the brother yyy
test\040221_195\040221_195.wav,because yyy yyy was jumping on babys toy
test\040221_196\040221_196.wav,the brother yyy
test\040221_197\040221_197.wav,was jump on
test\040221_198\040221_198.wav,ask a daddy if a daddy can play with him
test\040221_199\040221_199.wav,ask a daddy if a daddy can play with a brother
test\040221_2\040221_2.wav,i want a hose
test\040221_20\040221_20.wav,a plane
test\040221_200\040221_200.wav,because hes making a trampoline
test\040221_201\040221_201.wav,making a trampoline
test\040221_202\040221_202.wav,a daddy and a brother
test\040221_203\040221_203.wav,making a trampoline
test\040221_204\040221_204.wav,a trampoline
test\040221_205\040221_205.wav,jumping
test\040221_206\040221_206.wav,no theyre gonna make a trampoline
test\040221_207\040221_207.wav,make a trampoline
test\040221_208\040221_208.wav,and a watering can
test\040221_209\040221_209.wav,i dont know
test\040221_21\040221_21.wav,again
test\040221_210\040221_210.wav,what is it
test\040221_211\040221_211.wav,what is it
test\040221_212\040221_212.wav,no a daddy jump  yyy and a baby
test\040221_213\040221_213.wav,and a brother jump yyy
test\040221_214\040221_214.wav,and had to put a trampoline outside
test\040221_215\040221_215.wav,and they can jump on it
test\040221_216\040221_216.wav,i dont know
test\040221_217\040221_217.wav,dont jump on a trampoline
test\040221_218\040221_218.wav,mad
test\040221_219\040221_219.wav,because theyre inside jumping and jumping
test\040221_22\040221_22.wav,again
test\040221_220\040221_220.wav,outside
test\040221_221\040221_221.wav,outside
test\040221_222\040221_222.wav,a helmet
test\040221_223\040221_223.wav,a helmet
test\040221_224\040221_224.wav,and and that was the end yyy
test\040221_225\040221_225.wav,i want watch it again
test\040221_226\040221_226.wav,but i want watch it again
test\040221_227\040221_227.wav,what what is it
test\040221_228\040221_228.wav,boring
test\040221_229\040221_229.wav,boring
test\040221_23\040221_23.wav,whoa its so much
test\040221_230\040221_230.wav,a pizza
test\040221_24\040221_24.wav,look
test\040221_25\040221_25.wav,i want a ball
test\040221_26\040221_26.wav,theres a match
test\040221_27\040221_27.wav,i want a letter
test\040221_28\040221_28.wav,a doctor
test\040221_29\040221_29.wav,doctor
test\040221_3\040221_3.wav,i dont have any matches
test\040221_30\040221_30.wav,i want a book
test\040221_31\040221_31.wav,i want a book
test\040221_32\040221_32.wav,i want a hose
test\040221_33\040221_33.wav,a farmer
test\040221_34\040221_34.wav,i want a airplane
test\040221_35\040221_35.wav,a plane
test\040221_36\040221_36.wav,clean up clean up everybody do share
test\040221_37\040221_37.wav,kitchen picture
test\040221_38\040221_38.wav,i want this
test\040221_39\040221_39.wav,i want a garbage
test\040221_4\040221_4.wav,um theyre farmers
test\040221_40\040221_40.wav,a garbage
test\040221_41\040221_41.wav,trash can
test\040221_42\040221_42.wav,a trash can gonna be on a wall
test\040221_43\040221_43.wav,garbage
test\040221_44\040221_44.wav,pet
test\040221_45\040221_45.wav,we have a pet
test\040221_46\040221_46.wav,i want a pet
test\040221_47\040221_47.wav,i want a pet
test\040221_48\040221_48.wav,actually theres two pets yyy
test\040221_49\040221_49.wav,a cat and a dog
test\040221_5\040221_5.wav,i have a match
test\040221_50\040221_50.wav,a pet
test\040221_51\040221_51.wav,a dog
test\040221_52\040221_52.wav,a cat
test\040221_53\040221_53.wav,cat hat a yyy
test\040221_54\040221_54.wav,pat
test\040221_55\040221_55.wav,bag
test\040221_56\040221_56.wav,i want a table
test\040221_57\040221_57.wav,a table
test\040221_58\040221_58.wav,a table
test\040221_59\040221_59.wav,plane
test\040221_6\040221_6.wav,balls
test\040221_60\040221_60.wav,table
test\040221_61\040221_61.wav,i want a table
test\040221_62\040221_62.wav,theres a table
test\040221_63\040221_63.wav,i want a cookie jar
test\040221_64\040221_64.wav,a cookie jar
test\040221_65\040221_65.wav,cookie jars
test\040221_66\040221_66.wav,on a table
test\040221_67\040221_67.wav,look i see tea
test\040221_68\040221_68.wav,water
test\040221_69\040221_69.wav,tea on a on a table
test\040221_7\040221_7.wav,i have two more matches
test\040221_70\040221_70.wav,table
test\040221_71\040221_71.wav,i want a fridge
test\040221_72\040221_72.wav,i want a fridge
test\040221_73\040221_73.wav,fridge
test\040221_74\040221_74.wav,a fridge gonna be right here
test\040221_75\040221_75.wav,right here
test\040221_76\040221_76.wav,put
test\040221_77\040221_77.wav,i want a cat clock
test\040221_78\040221_78.wav,a cat
test\040221_79\040221_79.wav,spoon
test\040221_8\040221_8.wav,books
test\040221_80\040221_80.wav,spoon
test\040221_81\040221_81.wav,on a yyy right here
test\040221_82\040221_82.wav,actually no
test\040221_83\040221_83.wav,fridge
test\040221_84\040221_84.wav,right here
test\040221_85\040221_85.wav,a bowl
test\040221_86\040221_86.wav,it gonna be right here cooking
test\040221_87\040221_87.wav,stove
test\040221_88\040221_88.wav,stove
test\040221_89\040221_89.wav,cake
test\040221_9\040221_9.wav,i have books
test\040221_90\040221_90.wav,plane
test\040221_91\040221_91.wav,cake
test\040221_92\040221_92.wav,yeah in right here
test\040221_93\040221_93.wav,cake
test\040221_94\040221_94.wav,cake
test\040221_95\040221_95.wav,cake
test\040221_96\040221_96.wav,yyy a cake
test\040221_97\040221_97.wav,xxx
test\040221_98\040221_98.wav,yyy
test\040221_99\040221_99.wav,yyy
train\030926_1\030926_1.wav,open
train\030926_10\030926_10.wav,pie
train\030926_100\030926_100.wav,pop
train\030926_101\030926_101.wav,pop
train\030926_102\030926_102.wav,pop
train\030926_103\030926_103.wav,pop
train\030926_104\030926_104.wav,yyy you can help me
train\030926_105\030926_105.wav,pop
train\030926_106\030926_106.wav,pop
train\030926_107\030926_107.wav,pop
train\030926_108\030926_108.wav,pop
train\030926_109\030926_109.wav,pop
train\030926_11\030926_11.wav,what is this
train\030926_110\030926_110.wav,pop
train\030926_111\030926_111.wav,pop
train\030926_112\030926_112.wav,pop
train\030926_113\030926_113.wav,pop
train\030926_114\030926_114.wav,pop
train\030926_115\030926_115.wav,pop
train\030926_116\030926_116.wav,pop
train\030926_117\030926_117.wav,pop
train\030926_118\030926_118.wav,pop
train\030926_119\030926_119.wav,pop
train\030926_12\030926_12.wav,cupcakes
train\030926_120\030926_120.wav,pop
train\030926_121\030926_121.wav,pop
train\030926_122\030926_122.wav,pop
train\030926_123\030926_123.wav,pop
train\030926_124\030926_124.wav,help
train\030926_125\030926_125.wav,its wet
train\030926_126\030926_126.wav,i dont know
train\030926_127\030926_127.wav,pop
train\030926_128\030926_128.wav,pop
train\030926_129\030926_129.wav,pop
train\030926_13\030926_13.wav,yyy yyy
train\030926_130\030926_130.wav,pop
train\030926_131\030926_131.wav,pop
train\030926_132\030926_132.wav,pop
train\030926_133\030926_133.wav,pop
train\030926_134\030926_134.wav,okay
train\030926_135\030926_135.wav,toe pop
train\030926_136\030926_136.wav,toe pop
train\030926_137\030926_137.wav,pop
train\030926_138\030926_138.wav,pop
train\030926_139\030926_139.wav,pop
train\030926_14\030926_14.wav,chips
train\030926_140\030926_140.wav,pop
train\030926_141\030926_141.wav,again
train\030926_142\030926_142.wav,i dont see it yyy
train\030926_143\030926_143.wav,pop
train\030926_144\030926_144.wav,pop
train\030926_145\030926_145.wav,toe
train\030926_146\030926_146.wav,finger pop
train\030926_147\030926_147.wav,where is it
train\030926_148\030926_148.wav,pop
train\030926_149\030926_149.wav,pop
train\030926_15\030926_15.wav,chip
train\030926_150\030926_150.wav,pop
train\030926_151\030926_151.wav,pop
train\030926_152\030926_152.wav,pop
train\030926_153\030926_153.wav,pop
train\030926_154\030926_154.wav,pop
train\030926_155\030926_155.wav,pop
train\030926_156\030926_156.wav,spongebob squarepants
train\030926_157\030926_157.wav,pop
train\030926_158\030926_158.wav,pop
train\030926_159\030926_159.wav,pop
train\030926_16\030926_16.wav,three chips
train\030926_160\030926_160.wav,pop
train\030926_161\030926_161.wav,a toe pop
train\030926_162\030926_162.wav,pop
train\030926_163\030926_163.wav,pop
train\030926_164\030926_164.wav,pop
train\030926_165\030926_165.wav,pop
train\030926_166\030926_166.wav,pop
train\030926_167\030926_167.wav,pop
train\030926_168\030926_168.wav,pop
train\030926_169\030926_169.wav,pop
train\030926_17\030926_17.wav,i dont know what is this
train\030926_170\030926_170.wav,pop
train\030926_171\030926_171.wav,pop
train\030926_172\030926_172.wav,pop
train\030926_173\030926_173.wav,pop
train\030926_174\030926_174.wav,pop
train\030926_175\030926_175.wav,pop
train\030926_176\030926_176.wav,pop
train\030926_177\030926_177.wav,pop
train\030926_178\030926_178.wav,pop
train\030926_179\030926_179.wav,pop
train\030926_18\030926_18.wav,a waffle
train\030926_180\030926_180.wav,pop
train\030926_181\030926_181.wav,pop
train\030926_182\030926_182.wav,pop
train\030926_183\030926_183.wav,pop
train\030926_184\030926_184.wav,pop
train\030926_185\030926_185.wav,okay
train\030926_186\030926_186.wav,pop
train\030926_187\030926_187.wav,pop
train\030926_188\030926_188.wav,go high
train\030926_189\030926_189.wav,pop
train\030926_19\030926_19.wav,a yyy
train\030926_190\030926_190.wav,yyy yyy yyy yyy
train\030926_191\030926_191.wav,do it again
train\030926_192\030926_192.wav,yyy more pop
train\030926_193\030926_193.wav,more pop
train\030926_194\030926_194.wav,more pop
train\030926_195\030926_195.wav,pop
train\030926_196\030926_196.wav,pop
train\030926_197\030926_197.wav,pop
train\030926_198\030926_198.wav,pop
train\030926_199\030926_199.wav,yyy
train\030926_2\030926_2.wav,that a bananas
train\030926_20\030926_20.wav,no
train\030926_200\030926_200.wav,pop
train\030926_201\030926_201.wav,pop
train\030926_202\030926_202.wav,pop
train\030926_203\030926_203.wav,pop
train\030926_204\030926_204.wav,pop
train\030926_205\030926_205.wav,pop
train\030926_206\030926_206.wav,pop
train\030926_207\030926_207.wav,pop
train\030926_208\030926_208.wav,pop
train\030926_209\030926_209.wav,pop
train\030926_21\030926_21.wav,do yyy waffles but
train\030926_210\030926_210.wav,pop
train\030926_211\030926_211.wav,pop
train\030926_212\030926_212.wav,pop
train\030926_213\030926_213.wav,pop
train\030926_214\030926_214.wav,pop
train\030926_215\030926_215.wav,up
train\030926_216\030926_216.wav,up
train\030926_217\030926_217.wav,pop
train\030926_218\030926_218.wav,pop
train\030926_219\030926_219.wav,pop
train\030926_22\030926_22.wav,waffle
train\030926_220\030926_220.wav,pop
train\030926_221\030926_221.wav,where is it
train\030926_222\030926_222.wav,a raisin
train\030926_223\030926_223.wav,yyy
train\030926_224\030926_224.wav,pop
train\030926_225\030926_225.wav,pop
train\030926_226\030926_226.wav,up
train\030926_227\030926_227.wav,up
train\030926_228\030926_228.wav,pop
train\030926_229\030926_229.wav,pop
train\030926_23\030926_23.wav,waffle
train\030926_230\030926_230.wav,pop
train\030926_231\030926_231.wav,pop
train\030926_232\030926_232.wav,pop
train\030926_233\030926_233.wav,pop
train\030926_234\030926_234.wav,pop
train\030926_235\030926_235.wav,pop
train\030926_236\030926_236.wav,pop
train\030926_237\030926_237.wav,pop
train\030926_238\030926_238.wav,pop
train\030926_239\030926_239.wav,pop
train\030926_24\030926_24.wav,waffle
train\030926_240\030926_240.wav,pop
train\030926_241\030926_241.wav,pop
train\030926_242\030926_242.wav,pop
train\030926_243\030926_243.wav,pop
train\030926_244\030926_244.wav,pop
train\030926_245\030926_245.wav,pop
train\030926_246\030926_246.wav,pop
train\030926_247\030926_247.wav,i see you
train\030926_248\030926_248.wav,i see you
train\030926_249\030926_249.wav,i see you
train\030926_25\030926_25.wav,okay
train\030926_250\030926_250.wav,i see you
train\030926_251\030926_251.wav,i see you
train\030926_252\030926_252.wav,i see you
train\030926_253\030926_253.wav,pop
train\030926_254\030926_254.wav,pop
train\030926_255\030926_255.wav,pop
train\030926_256\030926_256.wav,pop
train\030926_257\030926_257.wav,pop
train\030926_258\030926_258.wav,go pop
train\030926_259\030926_259.wav,pop
train\030926_26\030926_26.wav,help
train\030926_260\030926_260.wav,pop
train\030926_261\030926_261.wav,pop
train\030926_262\030926_262.wav,pop
train\030926_263\030926_263.wav,pop
train\030926_264\030926_264.wav,pop
train\030926_265\030926_265.wav,pop
train\030926_266\030926_266.wav,pop
train\030926_267\030926_267.wav,pop
train\030926_268\030926_268.wav,no raisins
train\030926_269\030926_269.wav,yyy
train\030926_27\030926_27.wav,help
train\030926_28\030926_28.wav,red
train\030926_29\030926_29.wav,help
train\030926_3\030926_3.wav,bananas
train\030926_30\030926_30.wav,help
train\030926_31\030926_31.wav,my tum
train\030926_32\030926_32.wav,help
train\030926_33\030926_33.wav,yeah
train\030926_34\030926_34.wav,me want food
train\030926_35\030926_35.wav,all done
train\030926_36\030926_36.wav,i want food
train\030926_37\030926_37.wav,food
train\030926_38\030926_38.wav,i want food
train\030926_39\030926_39.wav,food
train\030926_4\030926_4.wav,carrots
train\030926_40\030926_40.wav,food
train\030926_41\030926_41.wav,yyy yyy yyy help me
train\030926_42\030926_42.wav,somebody is sitting in my blue chair
train\030926_43\030926_43.wav,help
train\030926_44\030926_44.wav,help
train\030926_45\030926_45.wav,hi yyy
train\030926_46\030926_46.wav,help
train\030926_47\030926_47.wav,help
train\030926_48\030926_48.wav,what about me
train\030926_49\030926_49.wav,no her put yyy away
train\030926_5\030926_5.wav,open
train\030926_50\030926_50.wav,my tum
train\030926_51\030926_51.wav,blue hats
train\030926_52\030926_52.wav,eggs
train\030926_53\030926_53.wav,waffle
train\030926_54\030926_54.wav,waffle
train\030926_55\030926_55.wav,a pot
train\030926_56\030926_56.wav,too big
train\030926_57\030926_57.wav,open
train\030926_58\030926_58.wav,food
train\030926_59\030926_59.wav,food
train\030926_6\030926_6.wav,open
train\030926_60\030926_60.wav,i dont know
train\030926_61\030926_61.wav,a frog
train\030926_62\030926_62.wav,frog
train\030926_63\030926_63.wav,frog
train\030926_64\030926_64.wav,my turn
train\030926_65\030926_65.wav,my turn
train\030926_66\030926_66.wav,i did it
train\030926_67\030926_67.wav,do it again
train\030926_68\030926_68.wav,my turn
train\030926_69\030926_69.wav,my turn
train\030926_7\030926_7.wav,oh yeah pooh bear
train\030926_70\030926_70.wav,my turn
train\030926_71\030926_71.wav,my turn
train\030926_72\030926_72.wav,me and you
train\030926_73\030926_73.wav,my turn
train\030926_74\030926_74.wav,my turn
train\030926_75\030926_75.wav,my turn
train\030926_76\030926_76.wav,my turn
train\030926_77\030926_77.wav,my turn
train\030926_78\030926_78.wav,my turn
train\030926_79\030926_79.wav,my turn
train\030926_8\030926_8.wav,yyy yyy
train\030926_80\030926_80.wav,my turn
train\030926_81\030926_81.wav,my turn
train\030926_82\030926_82.wav,my turn
train\030926_83\030926_83.wav,my turn
train\030926_84\030926_84.wav,my turn
train\030926_85\030926_85.wav,my turn
train\030926_86\030926_86.wav,my turn
train\030926_87\030926_87.wav,my turn
train\030926_88\030926_88.wav,my turn
train\030926_89\030926_89.wav,me too
train\030926_9\030926_9.wav,what is this
train\030926_90\030926_90.wav,take them out
train\030926_91\030926_91.wav,out out out out out out out out
train\030926_92\030926_92.wav,out
train\030926_93\030926_93.wav,but my hungry right now
train\030926_94\030926_94.wav,hungry
train\030926_95\030926_95.wav,hungry
train\030926_96\030926_96.wav,pop
train\030926_97\030926_97.wav,pop
train\030926_98\030926_98.wav,pop
train\030926_99\030926_99.wav,pop
train\031004_1\031004_1.wav,up
train\031004_10\031004_10.wav,up
train\031004_100\031004_100.wav,baby
train\031004_101\031004_101.wav,baby
train\031004_102\031004_102.wav,baby
train\031004_103\031004_103.wav,big kid
train\031004_104\031004_104.wav,yyy
train\031004_105\031004_105.wav,hes a baby
train\031004_106\031004_106.wav,baby
train\031004_107\031004_107.wav,baby
train\031004_108\031004_108.wav,that not baby horse
train\031004_109\031004_109.wav,that not baby horse
train\031004_11\031004_11.wav,up
train\031004_110\031004_110.wav,that yyy yyy
train\031004_111\031004_111.wav,me forgot me forgot me forgot
train\031004_112\031004_112.wav,baby cow
train\031004_113\031004_113.wav,baby moo
train\031004_114\031004_114.wav,baby baa
train\031004_115\031004_115.wav,baby oink
train\031004_116\031004_116.wav,baby neigh
train\031004_117\031004_117.wav,baby neigh
train\031004_118\031004_118.wav,baby neigh
train\031004_119\031004_119.wav,horse
train\031004_12\031004_12.wav,up
train\031004_120\031004_120.wav,cows
train\031004_121\031004_121.wav,moo
train\031004_122\031004_122.wav,moo
train\031004_123\031004_123.wav,milk
train\031004_124\031004_124.wav,milk
train\031004_125\031004_125.wav,milk
train\031004_126\031004_126.wav,milk
train\031004_127\031004_127.wav,milk
train\031004_128\031004_128.wav,mouse
train\031004_129\031004_129.wav,mouse
train\031004_13\031004_13.wav,up
train\031004_130\031004_130.wav,mouse
train\031004_131\031004_131.wav,mouse
train\031004_132\031004_132.wav,yyy horse
train\031004_133\031004_133.wav,neigh
train\031004_134\031004_134.wav,baa
train\031004_135\031004_135.wav,oic
train\031004_136\031004_136.wav,oic
train\031004_137\031004_137.wav,moo
train\031004_138\031004_138.wav,moo
train\031004_139\031004_139.wav,moo
train\031004_14\031004_14.wav,but just little
train\031004_140\031004_140.wav,sheeps
train\031004_141\031004_141.wav,baa
train\031004_142\031004_142.wav,moo
train\031004_143\031004_143.wav,moo
train\031004_144\031004_144.wav,neigh
train\031004_145\031004_145.wav,thats piggie
train\031004_146\031004_146.wav,piggie
train\031004_147\031004_147.wav,pig
train\031004_148\031004_148.wav,pig
train\031004_149\031004_149.wav,oic
train\031004_15\031004_15.wav,lot
train\031004_150\031004_150.wav,mom i hungry
train\031004_151\031004_151.wav,huh
train\031004_152\031004_152.wav,huh
train\031004_153\031004_153.wav,huh
train\031004_154\031004_154.wav,hungry
train\031004_155\031004_155.wav,hungry
train\031004_156\031004_156.wav,hungry
train\031004_157\031004_157.wav,i hungry
train\031004_158\031004_158.wav,pop
train\031004_159\031004_159.wav,pop
train\031004_16\031004_16.wav,big
train\031004_160\031004_160.wav,a duckie
train\031004_161\031004_161.wav,duck
train\031004_162\031004_162.wav,duck
train\031004_163\031004_163.wav,duck
train\031004_164\031004_164.wav,duck
train\031004_165\031004_165.wav,cup
train\031004_166\031004_166.wav,cup
train\031004_167\031004_167.wav,cup
train\031004_168\031004_168.wav,cup
train\031004_169\031004_169.wav,cup
train\031004_17\031004_17.wav,big
train\031004_170\031004_170.wav,cup
train\031004_171\031004_171.wav,plate
train\031004_172\031004_172.wav,plate
train\031004_173\031004_173.wav,plate
train\031004_174\031004_174.wav,plate
train\031004_175\031004_175.wav,plate
train\031004_176\031004_176.wav,plate
train\031004_177\031004_177.wav,plate
train\031004_178\031004_178.wav,plate
train\031004_179\031004_179.wav,cake
train\031004_18\031004_18.wav,big
train\031004_180\031004_180.wav,cake
train\031004_181\031004_181.wav,cake
train\031004_182\031004_182.wav,dake
train\031004_183\031004_183.wav,dakec
train\031004_184\031004_184.wav,yyy no more cake
train\031004_185\031004_185.wav,bean
train\031004_186\031004_186.wav,bean
train\031004_187\031004_187.wav,bean
train\031004_188\031004_188.wav,bean
train\031004_189\031004_189.wav,bean
train\031004_19\031004_19.wav,big
train\031004_190\031004_190.wav,what is these
train\031004_191\031004_191.wav,gumdrops
train\031004_192\031004_192.wav,gum
train\031004_193\031004_193.wav,gum
train\031004_194\031004_194.wav,gum
train\031004_195\031004_195.wav,strawberries
train\031004_196\031004_196.wav,gum
train\031004_197\031004_197.wav,gum
train\031004_198\031004_198.wav,yum
train\031004_199\031004_199.wav,no he did  did not yyy
train\031004_2\031004_2.wav,up
train\031004_20\031004_20.wav,yyy
train\031004_200\031004_200.wav,the ducks
train\031004_201\031004_201.wav,he can eat
train\031004_202\031004_202.wav,hot
train\031004_203\031004_203.wav,hot
train\031004_204\031004_204.wav,hot
train\031004_205\031004_205.wav,not yet
train\031004_206\031004_206.wav,gum
train\031004_207\031004_207.wav,gum
train\031004_208\031004_208.wav,beans
train\031004_209\031004_209.wav,yyy fork
train\031004_21\031004_21.wav,up
train\031004_210\031004_210.wav,fork
train\031004_211\031004_211.wav,me all done
train\031004_212\031004_212.wav,yyy cup
train\031004_213\031004_213.wav,cup
train\031004_214\031004_214.wav,cup
train\031004_215\031004_215.wav,a cup
train\031004_216\031004_216.wav,a cup
train\031004_217\031004_217.wav,okay
train\031004_218\031004_218.wav,candy
train\031004_219\031004_219.wav,no a cup
train\031004_22\031004_22.wav,up
train\031004_220\031004_220.wav,cup
train\031004_221\031004_221.wav,cup
train\031004_222\031004_222.wav,yyy yyy candle yyy
train\031004_223\031004_223.wav,it not hot no more
train\031004_224\031004_224.wav,not hot no more
train\031004_225\031004_225.wav,for the duck
train\031004_226\031004_226.wav,duck
train\031004_227\031004_227.wav,duck
train\031004_228\031004_228.wav,duck
train\031004_229\031004_229.wav,eat
train\031004_23\031004_23.wav,up
train\031004_230\031004_230.wav,eat
train\031004_231\031004_231.wav,eat
train\031004_232\031004_232.wav,clean up everybody do your share
train\031004_233\031004_233.wav,cup
train\031004_234\031004_234.wav,cup
train\031004_235\031004_235.wav,cup
train\031004_236\031004_236.wav,cake
train\031004_237\031004_237.wav,fork
train\031004_238\031004_238.wav,fork
train\031004_239\031004_239.wav,spoon
train\031004_24\031004_24.wav,up
train\031004_240\031004_240.wav,yyy yyy yyy yyy yyy yyy
train\031004_241\031004_241.wav,bowl
train\031004_242\031004_242.wav,hot
train\031004_243\031004_243.wav,hot
train\031004_244\031004_244.wav,hot
train\031004_245\031004_245.wav,hot
train\031004_246\031004_246.wav,strawberries strawberries gum strawberries
train\031004_247\031004_247.wav,beans
train\031004_248\031004_248.wav,beans
train\031004_249\031004_249.wav,gumdrops
train\031004_25\031004_25.wav,up
train\031004_250\031004_250.wav,gum
train\031004_251\031004_251.wav,strawberries yyy gum
train\031004_252\031004_252.wav,yyy yyy
train\031004_253\031004_253.wav,gum
train\031004_254\031004_254.wav,plate
train\031004_255\031004_255.wav,plate
train\031004_256\031004_256.wav,bowl
train\031004_257\031004_257.wav,duck
train\031004_258\031004_258.wav,duck
train\031004_259\031004_259.wav,where does this go
train\031004_26\031004_26.wav,up
train\031004_260\031004_260.wav,to a yyy
train\031004_261\031004_261.wav,okay
train\031004_262\031004_262.wav,bow
train\031004_263\031004_263.wav,because i just know
train\031004_264\031004_264.wav,because yyy yyy
train\031004_265\031004_265.wav,boat
train\031004_266\031004_266.wav,boat
train\031004_267\031004_267.wav,okay
train\031004_268\031004_268.wav,okay
train\031004_269\031004_269.wav,bow
train\031004_27\031004_27.wav,up
train\031004_270\031004_270.wav,boat
train\031004_271\031004_271.wav,boat
train\031004_272\031004_272.wav,boat
train\031004_273\031004_273.wav,give me a bow
train\031004_274\031004_274.wav,give me a bow
train\031004_275\031004_275.wav,give me a boat
train\031004_276\031004_276.wav,give me a bow
train\031004_277\031004_277.wav,close your eyes
train\031004_278\031004_278.wav,boat
train\031004_279\031004_279.wav,bow
train\031004_28\031004_28.wav,up
train\031004_280\031004_280.wav,bow
train\031004_281\031004_281.wav,boat
train\031004_282\031004_282.wav,boat
train\031004_283\031004_283.wav,boat
train\031004_284\031004_284.wav,lets do it again
train\031004_285\031004_285.wav,i forgot
train\031004_286\031004_286.wav,pop
train\031004_287\031004_287.wav,pop
train\031004_288\031004_288.wav,ball
train\031004_289\031004_289.wav,yyy ball
train\031004_29\031004_29.wav,yyy yyy
train\031004_290\031004_290.wav,fish
train\031004_291\031004_291.wav,close your eyes
train\031004_292\031004_292.wav,nope
train\031004_293\031004_293.wav,ball pop
train\031004_294\031004_294.wav,a ball pop
train\031004_295\031004_295.wav,ball pop
train\031004_296\031004_296.wav,i forget i forget
train\031004_297\031004_297.wav,pop
train\031004_298\031004_298.wav,pop
train\031004_299\031004_299.wav,pop
train\031004_3\031004_3.wav,up
train\031004_30\031004_30.wav,bad pop
train\031004_300\031004_300.wav,pop
train\031004_301\031004_301.wav,pop
train\031004_302\031004_302.wav,pop
train\031004_303\031004_303.wav,pop
train\031004_304\031004_304.wav,pop
train\031004_305\031004_305.wav,pop
train\031004_306\031004_306.wav,pop
train\031004_307\031004_307.wav,pop
train\031004_308\031004_308.wav,pop
train\031004_309\031004_309.wav,pop
